symbol,direction,_tickSize,qty,buyPrice,sellPrice,priceSpread,pnl,commisions,netPNL,runningNetPNL,boughtTimestamp,soldTimestamp,duration
MNQH2,Long,0.25,1,14495,14494.75,-0.25,,-1.32,0.8200000000000001,730.3500000000571,2022-02-15T10:58:59Z,2022-02-15T11:03:58Z,4m59s
MNQH2,Long,0.25,1,14487.75,14486.25,-1.5,,-1.32,-1.68,728.6700000000571,2022-02-15T11:04:42Z,2022-02-15T11:05:05Z,23s
MNQH2,Long,0.25,1,14487.75,14486.25,-1.5,,-1.32,-1.68,726.9900000000572,2022-02-15T11:04:42Z,2022-02-15T11:05:05Z,23s
MNQH2,Long,0.25,1,14499.5,14479.5,-20,,-1.32,-38.68,688.3100000000572,2022-02-15T11:15:42Z,2022-02-15T11:19:46Z,4m4s
MNQH2,Long,0.25,1,14499.5,14479.5,-20,,-1.32,-38.68,649.6300000000573,2022-02-15T11:15:42Z,2022-02-15T11:19:46Z,4m4s
MNQH2,Short,0.25,1,14475.25,14475.5,0.25,,-1.32,1.82,651.4500000000573,2022-02-15T11:27:27Z,2022-02-15T11:24:12Z,3m15s
MNQH2,Short,0.25,1,14475.75,14475.5,-0.25,,-1.32,0.8200000000000001,652.2700000000574,2022-02-15T11:27:27Z,2022-02-15T11:24:12Z,3m15s
MNQH2,Long,0.25,1,14487,14519.75,32.75,,-1.32,66.82,719.0900000000574,2022-02-15T11:36:59Z,2022-02-15T11:41:42Z,4m42s
MNQH2,Long,0.25,1,14487,14535.5,48.5,,-1.32,98.32,817.4100000000574,2022-02-15T11:36:59Z,2022-02-15T11:43:18Z,6m18s
MNQH2,Short,0.25,1,14537,14523.25,-13.75,,-1.32,-26.18,791.2300000000574,2022-02-15T12:07:31Z,2022-02-15T11:56:37Z,10m53s
MNQH2,Short,0.25,1,14537,14535.5,-1.5,,-1.32,-1.68,789.5500000000575,2022-02-15T12:07:31Z,2022-02-15T12:04:54Z,2m37s
MNQH2,Short,0.25,1,14548.75,14538.75,-10,,-1.32,-18.68,770.8700000000575,2022-02-15T12:37:42Z,2022-02-15T12:37:09Z,32s
MNQH2,Short,0.25,1,14548.75,14538.75,-10,,-1.32,-18.68,752.1900000000576,2022-02-15T12:37:42Z,2022-02-15T12:37:09Z,32s
MNQH2,Short,0.25,1,14555.25,14555.75,0.5,,-1.32,2.3200000000000003,754.5100000000576,2022-02-15T12:43:05Z,2022-02-15T12:38:18Z,4m46s
MNQH2,Short,0.25,1,14555.25,14555.5,0.25,,-1.32,1.82,756.3300000000577,2022-02-15T12:43:05Z,2022-02-15T12:38:18Z,4m46s
MNQH2,Short,0.25,1,14544.25,14544.75,0.5,,-1.32,2.3200000000000003,758.6500000000577,2022-02-15T12:45:26Z,2022-02-15T12:44:33Z,52s
MNQH2,Short,0.25,1,14544.25,14544.5,0.25,,-1.32,1.82,760.4700000000578,2022-02-15T12:45:26Z,2022-02-15T12:44:33Z,52s
MNQH2,Short,0.25,1,14527.75,14551,23.25,,-1.32,47.82,808.2900000000578,2022-02-15T13:10:00Z,2022-02-15T13:00:00Z,10m0s
MNQH2,Short,0.25,1,14518.75,14551,32.25,,-1.32,65.82,874.1100000000579,2022-02-15T13:15:10Z,2022-02-15T13:00:00Z,15m10s
MNQH2,Long,0.25,1,14448.5,14493,44.5,,-1.32,90.32,964.4300000000578,2022-02-15T13:53:36Z,2022-02-15T14:09:10Z,15m33s
MNQH2,Short,0.25,1,14552.75,14539,-13.75,,-1.32,-26.18,938.2500000000579,2022-02-15T15:39:23Z,2022-02-15T14:50:25Z,48m57s
MNQH2,Short,0.25,1,14553,14538,-15,,-1.32,-28.68,909.5700000000579,2022-02-15T15:39:23Z,2022-02-15T14:50:28Z,48m54s
MNQH2,Short,0.25,1,14542,14541.75,-0.25,,-1.32,0.8200000000000001,910.390000000058,2022-02-15T15:44:05Z,2022-02-15T15:41:50Z,2m15s
MNQH2,Short,0.25,1,14542.5,14541.75,-0.75,,-1.32,-0.17999999999999994,910.210000000058,2022-02-15T15:44:09Z,2022-02-15T15:41:50Z,2m19s
MNQH2,Short,0.25,1,14573.25,14553.25,-20,,-1.32,-38.68,871.5300000000581,2022-02-15T16:01:24Z,2022-02-15T15:57:15Z,4m9s
MNQH2,Short,0.25,1,14573.25,14553.25,-20,,-1.32,-38.68,832.8500000000581,2022-02-15T16:01:24Z,2022-02-15T15:57:15Z,4m9s
MNQH2,Short,0.25,2,14579,14575.5,-3.5,,-2.64,-11.36,821.4900000000581,2022-02-15T16:24:58Z,2022-02-15T16:16:19Z,8m38s
MNQH2,Short,0.25,1,14530.25,14584.5,54.25,,-1.32,109.82,931.3100000000582,2022-02-15T16:40:45Z,2022-02-15T16:30:00Z,10m44s
MNQH2,Short,0.25,1,14589,14584.5,-4.5,,-1.32,-7.68,923.6300000000582,2022-02-15T16:50:03Z,2022-02-15T16:30:00Z,20m3s
MNQH2,Short,0.25,1,14589.5,14569.25,-20.25,,-1.32,-39.18,884.4500000000583,2022-02-15T16:50:03Z,2022-02-15T16:44:39Z,5m23s
MNQH2,Long,0.25,1,14595.25,14597,1.75,,-1.32,4.82,889.2700000000583,2022-02-15T16:50:11Z,2022-02-15T16:51:52Z,1m41s
MNQH2,Short,0.25,1,14594.25,14595.75,1.5,,-1.32,4.32,893.5900000000584,2022-02-15T17:00:54Z,2022-02-15T16:56:16Z,4m38s
MNQH2,Long,0.25,1,14507.75,14480.25,-27.5,,-1.32,-53.68,839.9100000000584,2022-02-16T10:09:03Z,2022-02-16T10:35:05Z,26m2s
MNQH2,Long,0.25,1,14488.25,14480.25,-8,,-1.32,-14.68,825.2300000000585,2022-02-16T10:31:13Z,2022-02-16T10:35:05Z,3m52s
MNQH2,Long,0.25,1,14465.5,14445.5,-20,,-1.32,-38.68,786.5500000000585,2022-02-16T10:37:31Z,2022-02-16T10:41:12Z,3m40s
MNQH2,Long,0.25,1,14465.5,14445.5,-20,,-1.32,-38.68,747.8700000000586,2022-02-16T10:37:31Z,2022-02-16T10:41:12Z,3m40s
MNQH2,Long,0.25,1,14456.25,14436.25,-20,,-1.32,-38.68,709.1900000000586,2022-02-16T10:42:18Z,2022-02-16T10:43:57Z,1m38s
